"","Ledger.Name","Project.No","Project.Description","Date","Period","Reference","Trans.Nbr","Ordernr","Order.Line.Nbr","Document.Type","Unique.Number","Amount","Narrative.1","Narrative.2","Narrative.3","Funding.Source","Accountnr","X","CapSentiment","CapSentiment_Cl"
"2973","20PLACT","M204000","I-W Infrastructure - Wharf","19/08/2019",2,"479135240",70,"P040875",1,"APINVP",237218,64,"TWARE PROTITE PAIL 4L","","Dulux Australia","MAINT","M204000.6230.25.00",NA,0,0
"2977","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",2,"DMI400919678",74,"P041075",1,"APINVP",237303,13,"ROUNDSLING ENDLESS 1T 2M","","Bullivants Pty Ltd","MAINT","M204000.6230.25.00",NA,0,0
"2978","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",2,"DMI400919678",75,"P041075",2,"APINVP",237303,132,"ROUNDSLING ENDLESS 5T 6M","","Bullivants Pty Ltd","MAINT","M204000.6230.25.00",NA,0,0
"2979","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",2,"DMI400919678",76,"P041075",3,"APINVP",237303,36,"ROUNDSLING ENDLESS 4T 2M","","Bullivants Pty Ltd","MAINT","M204000.6230.25.00",NA,0,0
"2980","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",2,"DMI400919678",77,"P041075",4,"APINVP",237303,110,"ROUNDSLING ENDLESS 5T 5M","","Bullivants Pty Ltd","MAINT","M204000.6230.25.00",NA,0,0
"2981","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",78,"",NA,"$REVJRNL",0,12795,"August fender beam and pin pile replacem","TOTAL AMS PTY LTD; P040268/1","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2983","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",80,"",NA,"$REVJRNL",0,5680,"Berth 1 Pontoon Damage Walkway","TOTAL AMS PTY LTD; P032930/1","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2984","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",81,"",NA,"$REVJRNL",0,874,"FREIGHT FREMANTLE TO PPA STORES EAST","RGR ROAD HAULAGE PTY LTD; P037531/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2985","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",82,"",NA,"$REVJRNL",0,13,"8003 M8 D SHACKLE 316","STAINLESS FASTENER SUPPLIES P/L; P040871","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2986","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",83,"",NA,"$REVJRNL",0,15,"8101 M5 WIRE ROPE GRIP 316","STAINLESS FASTENER SUPPLIES P/L; P040871","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2987","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",84,"",NA,"$REVJRNL",0,6,"FIRE ALARM LOGBOOK  additonal to P033263","CHUBB FIRE & SECURITY PTY LTD; P040010/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2989","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",86,"",NA,"$REVJRNL",0,300,"NORWEST TRUCK - PIN PILE TPT","NORWEST CRANE HIRE; P036931/2","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2990","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",87,"",NA,"$REVJRNL",0,38,"Fire Indicator","CHUBB FIRE & SECURITY PTY LTD; P040114/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2991","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",88,"",NA,"$REVJRNL",0,12,"Fire Pump Electric & Diesel","CHUBB FIRE & SECURITY PTY LTD; P040114/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2992","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",89,"",NA,"$REVJRNL",0,8,"Sprinkler Valve","CHUBB FIRE & SECURITY PTY LTD; P040114/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2993","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",90,"",NA,"$REVJRNL",0,8,"VESDA","CHUBB FIRE & SECURITY PTY LTD; P040114/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2994","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",91,"",NA,"$REVJRNL",0,1763,"Week 26 - 5 x 9hr days @ $115 per hr","FORCE EQUIPMENT PTY LTD; P039386/1","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2995","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",92,"",NA,"$REVJRNL",0,1763,"Week 27 - 5 x 9hr days @ $115 per hr","FORCE EQUIPMENT PTY LTD; P039386/1","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2996","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",93,"",NA,"$REVJRNL",0,1763,"Week 28 - 5 x 9hr days @ $115 per hr","FORCE EQUIPMENT PTY LTD; P039386/1","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2998","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",95,"",NA,"$REVJRNL",0,37,"DUST CAP (EXCL. PVR/HI-CUPLA 100 SERIES)","PIRTEK PORT HEDLAND; P040837/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"2999","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",96,"",NA,"$REVJRNL",0,730,"S/S ADAPTOR BSPT MALE X BSPP FEM SW","PIRTEK PORT HEDLAND; P040837/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3000","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",97,"",NA,"$REVJRNL",0,25,"S+H","PIRTEK PORT HEDLAND; P040837/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3001","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",98,"",NA,"$REVJRNL",0,395,"SS NIPPLE BSPP MALE X BSPT MALE","PIRTEK PORT HEDLAND; P040837/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3002","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",99,"",NA,"$REVJRNL",0,414,"STAINLESS HI CUPLA","PIRTEK PORT HEDLAND; P040837/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3005","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",102,"",NA,"$REVJRNL",0,233,"CONNECTOR CABLE TWISTLOCK MOM 500 AMP","BLACKWOODS HARDWARE; P041076/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3006","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",103,"",NA,"$REVJRNL",0,238,"CUTTER HSS AUSTBROACH 26508 26DIA X 50MM","BLACKWOODS HARDWARE; P041076/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3007","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",104,"",NA,"$REVJRNL",0,281,"CUTTER HSS AUSTBROACH 28508 28DIA X 50MM","BLACKWOODS HARDWARE; P041076/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3008","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",105,"",NA,"$REVJRNL",0,130,"PIN LOCATING ATRA ACE 50X8MM DIA NAP0850","BLACKWOODS HARDWARE; P041076/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3009","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",106,"",NA,"$REVJRNL",0,87,"PUNCH PIN WIRE ROPE HANDLE 32MM DIAMETER","BLACKWOODS HARDWARE; P041076/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3010","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",107,"",NA,"$REVJRNL",0,17,"NOZZLE CUTTING 15C-A","BOC GASES AUSTRALIA LIMITED; P041074/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3011","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001419",108,"",NA,"$REVJRNL",0,843,"WIRE INNERSHIELD NR232 1.7MM 11.3KG","BOC GASES AUSTRALIA LIMITED; P041074/0","EOM Works Commitment accrual","MAINT","M204000.6230.25.00",NA,0,0
"3012","20PLACT","M204000","I-W Infrastructure - Wharf","22/03/2019",2,"0369",140,"P041348",26,"APINVP",238123,27,"Con Note: 7269190012955 Hobsons","","Toll Ipec - East Side","MAINT","M204000.6230.25.00",NA,0,0
"3013","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",141,"",NA,"$REVJRNL",0,280,"Hardwood Gluts 75 x 50 x 1200","Wilson Industries WA T/A JP Pallets Wils","Unposted Doc Accrual 077894","MAINT","M204000.6230.25.00",NA,0,0
"3014","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",142,"",NA,"$REVJRNL",0,298,"COVERALLS SAFEGARD 76 SMMS428BE BLU 3XL","Blackwoods Hardware; Inv: PH9623TU; P040","Unposted Doc Accrual 077928","MAINT","M204000.6230.25.00",NA,0,0
"3015","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",143,"",NA,"$REVJRNL",0,28,"GALV 8.8 ALLTHREAD M24 X 1MTR","Australian Steel & Procurement Services;","Unposted Doc Accrual 077946","MAINT","M204000.6230.25.00",NA,0,0
"3016","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",144,"",NA,"$REVJRNL",0,147,"VALVE BALL SCREWED T/PORT SS316 25MM","Blackwoods Hardware; Inv: PH5466TU; P040","Unposted Doc Accrual 077986","MAINT","M204000.6230.25.00",NA,0,0
"3017","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",145,"",NA,"$REVJRNL",0,15,"BUSH 316 STAINLESS STL BSP 1/2 X 1/4","Blackwoods Hardware; Inv: PH5466TU; P040","Unposted Doc Accrual 077986","MAINT","M204000.6230.25.00",NA,0,0
"3018","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",146,"",NA,"$REVJRNL",0,7,"BUSH 316 STAINLESS STL BSP 1 X 1/2","Blackwoods Hardware; Inv: PH5466TU; P040","Unposted Doc Accrual 077986","MAINT","M204000.6230.25.00",NA,0,0
"3019","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",147,"",NA,"$REVJRNL",0,220,"VALVE BALL SCREWED T/PORT SS316 25MM","Blackwoods Hardware; Inv: PH0137TW; P040","Unposted Doc Accrual 077999","MAINT","M204000.6230.25.00",NA,0,0
"3020","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",148,"",NA,"$REVJRNL",0,4,"BUSH 316 STAINLESS STL BSP 1/2 X 1/4","Blackwoods Hardware; Inv: PH0137TW; P040","Unposted Doc Accrual 077999","MAINT","M204000.6230.25.00",NA,0,0
"3021","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",149,"",NA,"$REVJRNL",0,64,"BUSH 316 STAINLESS STL BSP 1 X 1/2","Blackwoods Hardware; Inv: PH0137TW; P040","Unposted Doc Accrual 077999","MAINT","M204000.6230.25.00",NA,0,0
"3022","20PLACT","M204000","I-W Infrastructure - Wharf","31/08/2019",2,"RJ001433",150,"",NA,"$REVJRNL",0,194,"GAUGE PRES BE DRY SS ASG63AS16-1/4 63MM","Blackwoods Hardware; Inv: PH2279TX; P040","Unposted Doc Accrual 078009","MAINT","M204000.6230.25.00",NA,0,0
"3064","20PLACT","M204000","I-W Infrastructure - Wharf","17/08/2019",3,"PH9623TU",161,"P040876",5,"APINVP",238157,298,"COVERALLS SAFEGARD 76 SMMS428BE BLU 3XL","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3065","20PLACT","M204000","I-W Infrastructure - Wharf","13/08/2019",3,"00007651",162,"P041077",1,"APINVP",238184,28,"GALV 8.8 ALLTHREAD M24 X 1MTR","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3066","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"PH-T00037658",163,"P040837",2,"APINVP",239068,414,"STAINLESS HI CUPLA","","Pirtek Port Hedland","MAINT","M204000.6230.25.00",NA,0,0
"3067","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"PH-T00037658",164,"P040837",3,"APINVP",239068,37,"DUST CAP (EXCL. PVR/HI-CUPLA 100 SERIES)","","Pirtek Port Hedland","MAINT","M204000.6230.25.00",NA,0,0
"3068","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"PH-T00037658",165,"P040837",4,"APINVP",239068,395,"SS NIPPLE BSPP MALE X BSPT MALE","","Pirtek Port Hedland","MAINT","M204000.6230.25.00",NA,0,0
"3069","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"PH-T00037658",166,"P040837",5,"APINVP",239068,730,"S/S ADAPTOR BSPT MALE X BSPP FEM SW","","Pirtek Port Hedland","MAINT","M204000.6230.25.00",NA,0,0
"3070","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"PH-T00037658",167,"P040837",6,"APINVP",239068,25,"S+H","","Pirtek Port Hedland","MAINT","M204000.6230.25.00",NA,0,0
"3071","20PLACT","M204000","I-W Infrastructure - Wharf","14/08/2019",3,"PH5466TU",168,"P040833",2,"APINVP",238344,147,"VALVE BALL SCREWED T/PORT SS316 25MM","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3072","20PLACT","M204000","I-W Infrastructure - Wharf","14/08/2019",3,"PH5466TU",169,"P040833",4,"APINVP",238344,15,"BUSH 316 STAINLESS STL BSP 1/2 X 1/4","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3073","20PLACT","M204000","I-W Infrastructure - Wharf","14/08/2019",3,"PH5466TU",170,"P040833",5,"APINVP",238344,7,"BUSH 316 STAINLESS STL BSP 1 X 1/2","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3074","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"PH0137TW",171,"P040833",2,"APINVP",238366,220,"VALVE BALL SCREWED T/PORT SS316 25MM","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3075","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"PH0137TW",172,"P040833",4,"APINVP",238366,4,"BUSH 316 STAINLESS STL BSP 1/2 X 1/4","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3076","20PLACT","M204000","I-W Infrastructure - Wharf","20/08/2019",3,"PH0137TW",173,"P040833",5,"APINVP",238366,64,"BUSH 316 STAINLESS STL BSP 1 X 1/2","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3077","20PLACT","M204000","I-W Infrastructure - Wharf","24/08/2019",3,"PH2279TX",174,"P040833",7,"APINVP",238373,194,"GAUGE PRES BE DRY SS ASG63AS16-1/4 63MM","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3078","20PLACT","M204000","I-W Infrastructure - Wharf","28/08/2019",3,"PH9609TX",175,"P041076",1,"APINVP",238813,87,"PUNCH PIN WIRE ROPE HANDLE 32MM DIAMETER","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3079","20PLACT","M204000","I-W Infrastructure - Wharf","28/08/2019",3,"PH9609TX",176,"P041076",2,"APINVP",238813,281,"CUTTER HSS AUSTBROACH 28508 28DIA X 50MM","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3080","20PLACT","M204000","I-W Infrastructure - Wharf","28/08/2019",3,"PH9374TX",177,"P041076",5,"APINVP",238814,163,"CONNECTOR CABLE TWISTLOCK MOM 500 AMP","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3082","20PLACT","M204000","I-W Infrastructure - Wharf","15/08/2019",3,"230861",179,"P040871",1,"APINVP",238926,13,"8003 M8 D SHACKLE 316","","Stainless Fastener Supplies P/L","MAINT","M204000.6230.25.00",NA,0,0
"3083","20PLACT","M204000","I-W Infrastructure - Wharf","15/08/2019",3,"230861",180,"P040871",2,"APINVP",238926,15,"8101 M5 WIRE ROPE GRIP 316","","Stainless Fastener Supplies P/L","MAINT","M204000.6230.25.00",NA,0,0
"3084","20PLACT","M204000","I-W Infrastructure - Wharf","4/09/2019",3,"INV-AUS10046",181,"P041347",1,"APINVP",239153,1584,"GARNET PREMIUM 25KG BAG","","GMA Garnet Pty Ltd","MAINT","M204000.6230.25.00",NA,0,0
"3085","20PLACT","M204000","I-W Infrastructure - Wharf","22/08/2019",3,"15375MK",182,"P041148",1,"APINVP",239262,280,"Hardwood Gluts 75 x 50 x 1200","","Wilson Industries WA T/A JP Pallets Wils","MAINT","M204000.6230.25.00",NA,0,0
"3086","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",183,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3087","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",184,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3088","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",185,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3089","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",186,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3090","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",187,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3091","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",188,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3092","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",189,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3093","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",190,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3094","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",191,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3095","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",192,"P039715",2,"APINVP",240025,4830,"UNIVERSAL BEAM 610 X 125 @ 4520MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3096","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",193,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3097","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",194,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3098","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",195,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3099","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",196,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3100","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",197,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3101","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",198,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3102","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",199,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3103","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",200,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3104","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",201,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3105","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",202,"P039715",4,"APINVP",240025,153,"UNIVERSAL BEAM 610 X 125 @ 2000MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3106","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",203,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3107","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",204,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3108","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",205,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3109","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",206,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3110","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",207,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3111","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",208,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3112","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",209,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3113","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",210,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3114","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",211,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3115","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00006616",212,"P039715",6,"APINVP",240025,473,"UNIVERSAL BEAM 610 X 125 @ 6200MM","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3116","20PLACT","M204000","I-W Infrastructure - Wharf","2/09/2019",3,"6350386",213,"P040873",1,"APINVP",240171,879,"CABLE STOCKING 14-19MM SS/SF/","","L&H Group T/A Auslec","MAINT","M204000.6230.25.00",NA,0,0
"3117","20PLACT","M204000","I-W Infrastructure - Wharf","21/08/2019",3,"PH0077TW",214,"P041076",3,"APINVP",240192,238,"CUTTER HSS AUSTBROACH 26508 26DIA X 50MM","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3118","20PLACT","M204000","I-W Infrastructure - Wharf","21/08/2019",3,"PH0077TW",215,"P041076",4,"APINVP",240192,130,"PIN LOCATING ATRA ACE 50X8MM DIA NAP0850","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3119","20PLACT","M204000","I-W Infrastructure - Wharf","21/08/2019",3,"PH0077TW",216,"P041076",5,"APINVP",240192,70,"CONNECTOR CABLE TWISTLOCK MOM 500 AMP","","Blackwoods Hardware","MAINT","M204000.6230.25.00",NA,0,0
"3120","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00007583",217,"P040725",1,"APINVP",240169,963,"SINGLE HOLE BLOCK 3.3","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3121","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00007583",218,"P040725",1,"APINVP",240169,963,"SINGLE HOLE BLOCK 3.3","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3122","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00007583",219,"P040725",1,"APINVP",240169,963,"SINGLE HOLE BLOCK 3.3","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3123","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00007583",220,"P040725",1,"APINVP",240169,963,"SINGLE HOLE BLOCK 3.3","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
"3124","20PLACT","M204000","I-W Infrastructure - Wharf","1/09/2019",3,"00007583",221,"P040725",2,"APINVP",240169,1337,"GR350 PL 12MMX570X94 AS DRG 3.4","","Australian Steel & Procurement Services","MAINT","M204000.6230.25.00",NA,0,0
